ITEM: TIMESTEP
25000
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
107 -171.123 
108 70.4151 
109 -53.3111 
110 -168.292 
111 -174.454 
112 61.8201 
113 -53.1609 
114 167.192 
115 -74.9043 
116 39.3246 
ITEM: TIMESTEP
26100
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 172.236 
2 -66.009 
3 49.9176 
4 64.3848 
5 -51.7677 
6 -174.773 
7 57.6886 
8 -65.3171 
9 173.841 
10 -179.326 
11 57.668 
12 -63.1739 
13 140.43 
14 27.0957 
15 -92.9451 
16 -175.122 
17 -55.6732 
18 62.7675 
19 155.589 
20 33.8122 
21 -88.3438 
22 149.88 
23 32.8053 
24 -88.9711 
25 -57.7173 
26 61.7067 
27 138.746 
28 10.3008 
29 -104.287 
30 138.842 
31 24.254 
32 -92.7126 
33 -109.177 
34 136.235 
35 19.2685 
36 171 
37 46.5598 
38 -63.5801 
39 -118.269 
40 130.021 
41 7.48599 
42 -17.2643 
43 -12.2379 
44 -129.249 
45 106.3 
46 100.395 
47 -16.6158 
48 -141.067 
49 -135.802 
50 107.187 
51 144.973 
52 25.4296 
53 -90.8947 
54 -162.193 
55 -56.2155 
56 72.8133 
57 128.392 
58 13.4448 
59 -111.624 
60 145.262 
61 20.1933 
62 -99.7908 
63 -106.686 
64 128.245 
65 8.26074 
66 -101.641 
67 134.128 
68 15.5361 
69 -87.2049 
70 38.6205 
71 154.394 
72 120.984 
73 2.60463 
74 -118.518 
75 -159.456 
76 78.7715 
77 -40.6995 
78 -163.877 
79 76.6521 
80 -42.1045 
81 -47.5415 
82 -167.012 
83 74.2309 
84 66.5406 
85 -175.541 
86 -59.5502 
87 159.004 
88 -78.7485 
89 38.6331 
90 88.7762 
91 -29.471 
92 -143.812 
93 96.0453 
94 -18.296 
95 -145.708 
96 -148.749 
97 96.9099 
98 -30.5016 
99 157.171 
100 35.226 
101 -79.2289 
102 67.0703 
103 -47.2986 
104 -176.952 
105 72.1127 
106 -57.5405 
107 -173.518 
108 -170.599 
109 59.748 
110 -56.2299 
111 28.7121 
112 -100.189 
113 142.126 
114 155.592 
115 -90.1223 
116 29.6482 
ITEM: TIMESTEP
26200
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 177.884 
2 -65.44 
3 50.88 
4 77.7231 
5 -45.9563 
6 -163.565 
7 75.6629 
8 -41.9462 
9 -160.658 
10 -162.504 
11 79.8873 
12 -38.8242 
13 138.359 
14 24.0805 
15 -98.7403 
16 170.962 
17 -65.5631 
18 51.821 
19 121.685 
20 3.97991 
21 -119.591 
22 122.704 
23 -0.988062 
24 -118.693 
25 -77.0183 
26 43.1878 
27 149.017 
28 30.6208 
29 -85.7501 
30 146.781 
31 30.4102 
32 -94.8224 
33 -88.7068 
34 154.922 
35 29.6897 
36 -128.582 
37 109.148 
38 -11.9675 
39 -73.9458 
40 161.92 
41 43.9521 
42 -83.5744 
43 -78.7243 
44 165.832 
45 37.851 
46 39.6366 
